Nitrogen,Phosphorus,Potassium,pH_Value,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature,Humidity,Rainfall,Soil_Quality
74.91,49.97,127.63,5.64,45.79,0.11,7.03,40.17,30.38,2372.15,56.59
190.14,74.67,91.86,8.81,53.46,3.36,7.27,37.63,63.18,381.16,54.07
146.4,56.27,192.9,9.96,30.47,1.92,3.09,19.84,69.23,1105.1,62.69
119.73,8.33,43.8,8.96,20.9,2.48,1.93,24.69,60.62,1332.46,70.91
31.2,18.56,117.57,5.75,22.54,3.2,1.61,27.77,61.41,1662.2,67.53
31.2,21.93,140.04,8.12,43.33,1.57,7.07,29.85,32.99,226.29,63.57
11.62,25.79,165.11,6.97,36.22,1.6,1.93,20.51,67.89,1186.54,61.64
173.24,56.54,81.39,8.61,31.76,0.67,4.29,28.69,98.14,935.52,61.51
120.22,50.4,137.38,4.5,16.15,3.18,2.72,37.06,98.07,1385.77,72.47
141.61,20.32,60.64,7.65,53.15,2.3,4.04,34.01,47.93,2189.59,63.36
4.12,6.76,87.1,8.53,47.96,0.71,2.83,43.28,78.28,453.88,44.28
193.98,17.14,179.13,8.45,12.74,2.0,2.41,18.35,55.33,2047.56,57.32
166.49,98.44,189.98,9.76,25.21,1.22,3.48,33.74,31.02,1070.96,41.87
42.47,46.85,143.76,3.88,34.82,0.6,2.73,43.24,79.23,919.22,59.2
36.36,86.73,74.87,5.75,29.99,0.72,6.73,13.36,47.52,1206.78,52.76
36.68,84.88,164.01,6.6,26.88,2.0,4.69,29.67,80.87,2567.96,63.74
60.85,51.15,5.17,5.51,44.54,2.02,1.49,44.45,50.35,201.99,60.41
104.95,70.67,20.55,5.51,8.0,2.79,1.96,12.15,34.0,1723.38,71.99
86.39,19.28,132.27,4.64,30.93,0.94,0.52,22.7,88.24,2204.52,68.85
58.25,68.84,58.25,8.78,19.42,3.21,2.47,12.97,24.15,1872.55,68.85
122.37,27.24,190.28,9.4,9.65,1.86,5.39,30.5,49.25,1606.14,53.78
27.9,83.21,87.21,4.04,30.57,0.79,1.55,39.85,73.8,1866.5,55.68
58.43,8.37,85.87,4.51,14.43,1.51,0.88,18.47,90.91,1062.38,62.74
73.27,77.31,135.62,4.98,19.2,3.24,2.64,17.15,32.89,1274.23,70.58
91.21,9.99,153.51,6.81,32.89,1.73,4.94,28.55,27.68,1164.01,78.44
157.04,88.12,95.11,8.64,58.55,3.07,3.83,22.44,44.17,1740.01,60.77
39.93,30.42,42.8,3.96,42.63,0.64,2.72,38.91,40.5,2654.09,47.75
102.85,65.44,154.66,7.64,20.38,3.21,7.08,14.69,75.54,1418.18,74.14
118.48,48.75,64.07,4.47,26.03,1.56,3.8,42.01,39.01,1215.43,66.7
9.29,36.63,35.02,9.81,27.34,3.28,3.69,38.38,69.92,2032.81,58.99
121.51,64.54,126.33,9.34,13.45,3.04,0.35,10.53,72.48,594.49,65.18
34.1,94.75,18.09,9.67,13.84,2.34,5.15,19.75,84.45,2677.03,45.67
13.01,4.13,194.27,4.19,13.16,2.39,3.73,41.98,68.27,2270.74,43.3
189.78,91.89,126.48,6.67,33.69,0.82,1.25,39.93,93.68,1049.43,61.52
193.13,60.91,197.18,4.57,42.08,2.15,2.03,27.26,75.37,625.07,63.08
161.68,80.73,67.78,7.4,37.49,1.97,1.7,29.16,39.4,1918.72,73.58
60.92,38.39,194.24,5.01,58.78,1.24,1.06,12.83,95.19,2877.56,51.84
19.53,47.18,29.11,8.51,11.92,1.82,3.54,37.99,35.2,2623.67,45.32
136.85,86.89,8.14,7.69,59.26,3.26,2.97,12.67,34.88,231.65,61.01
88.03,41.48,6.6,7.22,30.67,0.12,2.94,32.54,79.38,833.11,63.88
24.41,53.47,92.97,8.86,17.02,1.52,2.09,13.99,61.52,2062.02,59.25
99.04,2.02,16.6,6.75,56.88,1.23,3.55,25.18,32.8,1628.11,62.68
6.88,15.86,102.43,5.25,30.77,3.37,4.43,22.6,29.11,584.0,69.97
181.86,64.17,65.5,7.53,24.1,3.41,4.93,24.52,33.55,2598.19,70.96
51.76,71.7,67.13,9.72,16.76,2.09,1.84,30.21,94.12,2897.16,56.03
132.5,58.26,127.12,7.41,19.73,1.97,5.85,14.91,66.92,1163.66,68.73
62.34,14.33,32.62,7.59,58.86,3.17,0.31,17.81,78.33,1780.96,66.08
104.01,44.54,153.31,9.58,21.72,0.12,6.03,13.69,30.24,1062.42,52.16
109.34,35.51,116.41,6.85,58.78,2.01,2.34,32.85,50.34,619.75,76.17
36.97,49.57,182.99,9.98,23.16,0.18,3.02,11.85,64.56,2694.44,43.5
193.92,87.03,72.97,4.54,17.73,3.39,4.69,33.04,60.78,1264.8,58.44
155.03,77.59,196.54,6.99,15.09,1.19,4.92,44.05,49.81,82.45,53.71
187.9,8.4,115.17,4.88,27.65,1.87,3.43,41.12,27.66,968.95,59.45
178.97,89.03,194.68,6.45,18.02,1.52,7.51,21.42,74.63,1188.83,60.66
119.58,47.18,5.41,4.61,43.33,3.14,6.88,17.52,67.83,509.58,73.48
184.37,74.39,145.6,4.95,18.19,3.5,1.88,43.61,53.64,2205.54,68.55
17.7,14.0,163.32,4.87,50.95,0.33,4.75,25.53,94.16,530.97,47.26
39.2,67.07,10.63,5.58,50.87,2.59,5.8,22.33,80.48,2601.04,58.56
9.05,23.63,115.79,4.37,20.7,1.35,1.81,14.41,49.19,1821.83,55.34
65.07,43.84,160.39,8.76,46.44,0.57,0.25,15.83,24.22,2376.57,64.04
77.74,1.69,112.21,4.93,52.17,1.48,7.81,35.96,84.03,2043.81,54.86
54.27,15.16,12.76,6.21,37.46,3.49,7.67,17.05,55.21,2288.48,69.5
165.75,9.21,138.69,3.6,25.15,1.32,2.63,16.27,57.78,1251.48,55.99
71.35,23.97,12.12,4.18,29.25,1.04,1.99,21.28,66.99,1779.78,62.79
56.19,10.0,163.49,9.33,48.24,2.98,1.32,41.97,72.84,1144.57,60.74
108.54,69.19,8.61,8.94,21.13,3.05,5.53,30.63,68.69,2159.85,63.17
28.18,2.9,27.48,8.97,23.4,1.25,6.07,37.13,42.51,931.66,47.86
160.44,61.77,55.02,6.17,13.84,1.12,3.42,35.16,34.23,1004.41,70.23
14.91,14.07,126.67,4.42,26.95,2.3,2.02,43.25,22.24,2483.34,55.02
197.38,94.52,195.27,4.2,9.76,0.8,3.64,34.16,21.05,540.44,37.64
154.45,93.31,23.56,7.44,22.66,1.74,4.18,14.38,91.11,1197.03,53.31
39.74,22.55,28.54,8.88,25.54,0.58,4.39,17.07,99.56,1719.76,51.42
1.1,61.44,73.77,9.35,19.05,1.14,3.6,34.6,48.61,400.51,53.39
163.09,2.8,167.24,5.38,10.57,1.11,0.13,17.53,37.04,1838.34,57.6
141.37,93.18,93.45,5.59,33.69,2.46,3.83,38.93,51.95,1121.42,70.2
145.8,52.3,64.32,4.16,52.58,1.06,2.84,40.79,28.26,642.67,54.79
154.25,4.32,112.24,8.53,23.46,3.15,4.5,24.5,70.38,171.23,67.45
14.81,34.25,52.1,5.29,18.02,3.44,0.65,23.38,38.0,1689.87,73.89
71.69,7.68,80.23,6.63,20.68,0.38,7.05,14.23,45.39,2914.1,56.21
23.17,39.29,66.52,9.54,52.4,1.45,7.02,42.82,88.44,2319.65,42.24
172.62,66.99,160.83,8.39,34.03,1.13,4.56,27.05,65.53,1188.51,54.75
124.66,46.99,184.85,3.84,12.19,1.3,5.92,34.78,30.79,568.84,56.25
66.18,38.37,151.91,3.55,44.01,1.0,3.56,15.52,27.64,2252.14,54.19
12.71,11.92,87.82,8.62,13.49,1.4,4.76,28.88,72.33,2591.14,46.91
62.2,24.49,100.87,7.09,8.31,0.58,4.98,37.2,33.01,1035.45,62.36
65.04,10.01,25.01,8.18,19.06,1.05,2.9,30.93,35.74,186.54,57.54
145.92,80.75,149.37,4.52,14.24,2.64,7.69,23.29,68.14,1857.7,58.21
127.51,13.52,119.3,9.17,38.27,1.27,4.86,31.52,92.85,275.09,53.45
177.44,59.54,180.49,8.53,31.65,0.81,7.93,44.84,63.31,520.7,50.22
94.44,34.27,40.12,9.29,44.82,0.47,3.52,33.89,57.47,13.2,54.09
23.92,22.6,151.95,5.72,33.14,1.28,0.36,27.61,88.69,782.68,58.75
142.65,63.95,136.93,5.29,28.05,2.29,2.49,39.94,43.48,2285.38,69.47
152.16,45.7,53.17,4.49,33.94,0.96,5.24,26.48,22.77,2462.19,58.52
112.26,40.01,133.48,9.55,28.9,1.54,7.29,25.83,64.62,2844.43,61.56
154.19,59.29,184.87,4.65,7.04,3.34,4.96,29.51,30.55,2468.35,58.47
98.76,49.13,183.69,4.28,42.44,1.98,3.83,21.21,24.85,633.85,66.59
104.55,30.35,143.93,4.75,57.92,1.91,0.74,12.5,27.76,1570.48,68.29
85.51,55.91,9.61,8.51,28.21,1.49,1.24,23.2,28.83,1760.54,62.25
5.08,66.95,174.45,9.28,28.31,1.99,0.52,35.56,72.45,382.51,58.8
21.58,2.67,131.56,8.77,7.52,3.45,5.72,27.06,66.59,1306.33,61.34
6.29,46.59,62.09,7.16,53.97,0.96,6.67,39.91,45.62,915.98,51.75
127.28,5.77,37.45,9.96,56.1,3.3,1.4,16.38,39.45,2258.52,53.71
62.87,18.64,23.24,3.95,49.72,0.61,2.67,17.77,20.06,239.05,50.82
101.71,56.05,10.05,9.14,10.85,0.48,3.88,32.55,32.71,827.52,58.91
181.51,86.62,150.82,6.28,54.51,2.33,1.23,38.65,66.04,311.05,58.34
49.86,88.28,47.17,6.46,6.32,0.95,3.39,34.34,64.52,1389.12,59.57
82.08,6.99,4.85,4.33,29.45,1.61,7.74,25.54,78.91,566.64,52.67
151.11,41.91,79.45,3.72,32.53,2.58,5.78,40.91,22.64,314.9,59.32
45.76,58.3,96.52,5.56,50.87,1.92,1.42,33.64,83.61,1975.29,69.49
15.4,14.71,33.85,4.64,46.3,0.15,0.88,39.22,66.54,2535.35,48.3
57.95,76.54,8.81,6.64,48.84,1.14,3.62,41.64,41.83,604.51,59.33
32.24,74.42,37.83,4.46,52.73,0.32,7.9,28.55,54.85,366.48,43.98
185.94,90.33,135.82,4.4,31.18,3.25,6.37,30.59,83.95,1981.04,66.41
161.62,0.85,16.45,9.2,47.91,2.8,2.42,33.34,58.86,129.82,49.93
126.68,21.67,111.01,9.49,8.74,3.45,0.31,44.03,76.64,715.01,66.1
174.29,82.72,29.28,9.77,29.45,3.11,3.35,38.21,52.6,914.9,58.96
160.73,67.06,39.14,7.92,6.66,1.72,1.37,11.22,63.71,2758.75,56.69
37.31,89.44,78.62,8.51,55.34,3.1,1.52,25.02,86.63,1053.23,65.51
178.51,5.72,20.17,8.93,57.71,2.39,1.38,40.4,59.73,1597.63,53.31
107.87,59.7,34.64,7.78,9.62,1.88,5.78,11.27,65.05,2319.0,59.82
161.49,56.9,69.79,5.65,34.29,1.36,0.38,32.06,53.77,2535.62,75.41
179.22,3.57,65.93,4.52,22.88,2.42,4.56,43.08,35.25,286.68,50.96
63.6,51.35,149.85,5.04,23.84,2.11,6.04,20.92,97.88,2262.52,63.49
22.01,60.95,14.96,8.96,29.79,2.19,1.34,35.28,21.65,2261.18,62.04
45.59,19.13,172.09,8.02,11.88,1.46,7.15,20.9,29.94,2634.89,53.04
85.42,27.33,163.25,6.46,14.94,2.61,0.72,32.4,77.02,2296.84,75.2
163.6,64.03,153.2,3.69,36.76,0.38,5.49,42.78,79.26,388.01,49.99
172.15,46.83,61.87,5.23,6.03,2.57,1.46,22.91,32.51,902.26,66.24
1.39,85.8,164.58,8.24,37.99,2.58,6.47,43.61,70.71,1270.14,46.79
102.15,34.24,36.56,6.83,22.54,1.85,4.61,23.38,90.79,339.73,75.57
83.48,26.67,24.88,6.33,50.77,1.0,4.75,23.71,84.03,362.19,58.06
44.42,98.49,8.99,5.54,38.0,1.87,2.83,36.75,20.36,2365.69,54.9
23.97,91.11,187.86,7.45,43.95,0.52,2.34,22.63,23.23,510.92,56.37
67.52,2.9,61.6,9.78,11.29,1.07,3.76,21.47,57.32,2715.26,46.62
188.58,77.07,183.52,9.36,19.62,1.53,6.09,16.5,48.17,637.63,41.79
64.64,11.03,54.52,3.7,59.82,2.39,1.43,13.11,27.46,1472.5,53.88
103.76,2.75,181.51,6.63,28.85,0.74,6.55,39.32,35.42,635.0,55.48
140.6,27.37,180.79,5.64,24.74,0.64,3.89,26.66,95.44,2823.43,54.02
72.73,26.93,184.74,6.82,53.06,2.17,3.67,32.79,49.43,1626.47,61.61
194.36,81.93,99.23,7.44,6.82,2.41,0.23,26.73,37.7,1678.8,70.02
192.49,71.07,173.19,4.8,34.41,0.38,1.08,23.1,32.96,2613.51,47.16
50.36,98.16,190.15,8.58,16.56,0.21,3.51,24.3,67.22,449.08,49.66
99.45,71.15,64.92,6.59,25.25,0.6,7.85,12.78,57.16,260.41,60.19
60.18,41.83,83.77,9.95,15.99,3.16,2.08,33.59,47.29,2923.76,66.25
56.97,69.89,143.85,3.66,7.08,2.39,0.18,27.93,49.45,2755.58,64.91
7.38,99.95,60.07,4.73,27.91,3.23,3.54,12.32,36.17,758.18,60.53
121.91,71.01,150.76,7.98,48.41,2.36,0.23,32.0,79.71,1776.52,67.33
100.54,76.17,14.78,8.02,57.36,3.38,2.76,17.34,79.89,2080.4,67.9
10.3,93.84,104.7,7.28,39.31,1.59,2.9,14.85,22.6,2780.12,55.36
55.73,11.37,24.46,9.82,26.39,2.14,0.12,44.2,37.22,630.63,55.82
181.65,70.48,58.66,6.2,47.34,2.14,6.26,12.77,24.92,2364.49,53.56
47.91,85.08,51.73,6.21,32.79,0.11,7.31,35.55,27.02,535.74,54.37
28.98,95.44,167.79,9.42,25.22,0.19,7.99,34.4,96.59,1678.3,36.81
97.89,21.1,38.7,7.0,14.85,0.59,4.12,28.26,56.4,601.36,67.33
197.13,50.39,161.69,5.8,48.79,1.84,2.52,12.99,35.95,893.21,64.16
48.41,68.06,158.79,8.17,32.52,1.56,5.77,20.23,97.24,1595.27,61.24
134.43,24.75,99.78,7.53,58.01,1.94,5.92,15.64,58.09,958.52,63.79
152.32,60.05,46.77,5.49,49.11,2.82,3.1,44.42,74.82,2991.47,60.85
47.53,25.76,45.38,5.44,28.1,2.9,4.57,13.47,96.59,1933.85,64.25
145.64,33.35,92.98,6.07,45.75,3.42,6.59,10.44,94.38,2509.07,70.03
73.56,44.15,1.76,3.97,29.94,2.0,1.59,17.66,97.16,590.34,66.6
126.46,52.92,106.27,9.63,9.39,1.28,0.26,37.46,87.16,390.66,62.28
