Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Soil_Type,Variety
47.84,25.75,26.07,24.01,57.67,6.05,832.84,Groundnut,Sandy,TAG-24
70.58,65.92,96.37,20.94,75.83,7.3,1281.02,Wheat,Silty,HD-2967
27.52,25.92,56.74,29.92,37.78,5.75,806.8,Millet,Sandy,HHB-67
134.84,38.78,67.24,24.15,77.04,5.45,1748.55,Wheat,Peaty,HD-2967
42.31,30.16,20.0,29.88,42.59,5.95,851.78,Millet,Sandy,RHB-173
99.55,15.0,99.68,13.14,65.0,5.37,1646.07,Tea,Peaty,TV-23
83.77,64.59,85.59,22.74,70.42,6.69,1370.84,Cotton,Clay,Suraj
111.6,43.8,103.8,19.71,77.64,5.1,2139.75,Rice,Peaty,Swarna
83.98,34.81,93.41,26.82,59.27,7.58,1299.18,Wheat,Loamy,HD-2967
114.83,57.46,91.02,25.57,72.82,6.07,1452.39,Rice,Clay,IR64
95.21,42.87,72.84,30.37,70.83,6.43,1291.32,Tomato,Loamy,Pusa Ruby
35.56,39.09,61.11,30.2,59.38,7.13,669.13,Potato,Sandy,Kufri Bahar
53.84,28.88,55.33,29.76,49.93,6.31,536.3,Millet,Sandy,RHB-173
44.1,30.91,60.99,26.17,37.9,6.95,722.48,Watermelon,Sandy,Sugar Baby
107.93,38.04,92.26,30.48,68.23,6.02,1160.16,Cotton,Clay,Bt-2
108.45,43.27,82.03,16.29,83.56,6.0,1332.94,Vegetables,Peaty,Local-1
44.13,26.36,35.22,29.73,47.28,7.08,689.06,Watermelon,Sandy,Sugar Baby
73.78,57.01,97.52,17.83,79.61,6.66,1394.29,Rice,Silty,Basmati-370
75.64,49.9,99.59,29.53,58.23,6.79,1053.39,Cotton,Loamy,Suraj
48.22,15.88,45.88,29.65,52.3,6.77,517.49,Groundnut,Sandy,TAG-24
55.3,76.2,80.92,24.58,42.28,8.38,1043.34,Millet,Chalky,ICTP-8203
30.44,15.58,31.89,31.31,43.29,6.19,459.9,Potato,Sandy,Kufri Bahar
80.55,25.44,76.55,12.98,76.28,5.7,1945.76,Potato,Peaty,Kufri Pukhraj
118.97,21.75,59.71,20.97,75.9,4.76,2035.65,Cotton,Peaty,Bt-1
47.66,33.77,38.11,33.43,44.3,5.91,598.55,Groundnut,Sandy,JL-24
100.12,42.1,79.28,26.52,81.73,5.12,1428.76,Tea,Peaty,TV-23
54.37,49.6,82.67,20.14,55.94,6.79,1223.42,Cotton,Loamy,Bt-1
67.5,50.48,78.94,26.64,66.72,7.53,908.73,Cotton,Loamy,Bt-2
93.55,60.51,87.22,29.76,74.53,6.33,1188.54,Rice,Silty,IR64
130.44,55.08,113.27,25.04,68.39,6.93,1816.79,Groundnut,Clay,TAG-24
56.05,63.93,69.28,27.08,49.47,7.45,550.78,Wheat,Chalky,Lok-1
80.45,43.61,93.56,23.37,68.46,6.93,1312.0,Wheat,Silty,PBW-343
43.19,59.27,99.35,27.36,26.95,7.9,694.24,Cotton,Chalky,Suraj
39.99,60.26,69.06,31.84,38.23,7.93,602.58,Cotton,Chalky,Suraj
48.37,78.73,129.55,28.17,50.3,7.96,777.17,Millet,Chalky,RHB-173
105.35,43.0,107.38,18.85,59.96,6.13,1696.27,Wheat,Clay,Lok-1
115.15,29.48,75.94,20.26,79.78,5.12,2427.03,Vegetables,Peaty,Hybrid-B
109.1,50.16,47.81,20.49,78.24,6.45,1398.14,Barley,Peaty,DWRB-73
118.75,30.33,83.07,17.68,86.92,5.33,1609.15,Rice,Peaty,Swarna
